PID,Social Media Post,Normalized Claim
388,a person who without lawful excuse destroys or damages any property belonging to another intending to destroy or damage any such property or being reckless as to whether any such property would be destroyed or damaged shall be guilty of an offence,"the colston four admitted to pulling down the statue of edward colston and dumping it in the river. legally, that is criminal damage."
389,"do not use cell phones tonight! warning a shocking warning to the people of the world cosmic rays will pass very close to earth tonight, so turn off your cell phones from 12 30 pm tonight until 3 30 am. do not keep phones close to your body. they will cause terrible damage, because the radiation will be very high at the time mentioned above, said 'nasa' on singapore tv. share yours immediately.",do not use cell phones tonight. a shocking warning to the people across the world. since cosmic rays are passing close to earth tonight it is advised to switch off your cell phones from 12.30 to 3.30 at midnight. and do not place the cell phones nearby which may cause dangers due to high radiation. this was adviced by nasa and is telecasted on a tv channel in singapore.
390,"some events may have happened anyway, regardless of vaccination. this is particularly the case when millions of people are vaccinated, and especially when most vaccines are being given to the most elderly people and people who have underlying illness",the astrazeneca covid 19 vaccine causes more side effects than the pfizer vaccine.
391,they say an apple a day keeps the doctor away. but i think a single apple like this is enough to kill you soon because of its harmful wax coating in it. have experienced it today while my sister was about to cut this apple. take care people.. safety is now at you are own hands,waxed apples are harmful for health and can kill you
392,this was 6 years ago. imagine what monstrosities they have in underground labs now!!,scientists have created the world s first modular body from living human cells.
393,for safety against corona virus covid 19 you should check out these precautionary measures from rts so a large number of people can see this.,the new coronavirus does not settle in the air but is grounded so it is not transmitted by air.
394,weston hotel offering free meals and accommodation to langata residents today.,weston hotel is offering free meals and accomodation to langata residents
395,"7,000 ukrainian troops invaded a sovereign iraq in 2003 for no reason. they aided to hang a democratically elected president. the ukrainians served as the third largest coalition forces contingent during iraqi occupation. hundreds of thousands were ki!led because of the ukrainian occupation of iraq. thousand of women were raped. but guess none felt the same pain because the victims were from different faith and race.",7000 ukrainian troops invaded iraq in 2003.
396,can you give you r clarification on the book which is behind mrs gandhi named 'how to convert india into christian nation',can you give you r clarification on the book which is behind mrs gandhi named how to convert india into christian nation
397,"what i liked in this elections is the way farmer's of , chose to protest. out of 185 valid nominations, 178 nominations were from farmer's demanding minimum support price for turmeric and red jowar. the protest is getting national attention as the national media is covering it. they are not yet sold i guess. message is loud and clear for all the parties and what to do next for the mp who wins.",the electronic voting machines evms can only accomodate up to 64 candidates.
398,mcdonald's protecting their customer base lol,mcdonald s tweet claimed obesity does not exist
399,doctors can you please explain in lay terms it seems that there are new discoveries to covid 19 thanks to autopsies performed by the italians ... it has been shown that it is not pneumonia ... but it is disseminated intravascular coagulation thrombosis .,anti inflammatories should be used to fight covid 19.
400,age gap love laws violate human rights,"the world economic forum is calling for the decriminalisation of sex with children, and its co founder klaus schwab described paedophilia as nature s gift ."
401,omicron o micron 0 zero micron non existing. truth is often hidden in plain sight.,"covid variant, omicron, means non existing"
402,as google have removed him let us share him all over facebook.,google has removed churchill.
403,"russian military forces set fire to compound outside kiev occupied by women and children, burning them alive","russian military forces set fire to compound outside kiev occupied by women and children, burning them alive."
404,"yet to see a single agenda or policy position in the last year and a half from this administration that genuinely strives to decrease inflation, gas prices, supply chain shortages or explosive levels of illegal migration, in fact everything they do is designed to make it worse.","worldwide shortages of oil, gas, paper, milk, grain and other raw materials are not because of ukraine."
405,"last week, scientific experts at phe porton down carried out an independent evaluation of the new roche sars cov 2 serology assay in record time, concluding that it is a highly specific assay with specificity of 100 . this is a very positive development because such a highly specific antibody test is a very reliable marker of past infection. this in turn may indicate some immunity to future infection although the extent to which the presence of anti bodies indicates immunity remains unclear",new antibody tests are 100 accurate.
406,indian army's sikh general lt.gen. tarn jait singh has been arrested on charges of sedition against the modi government.this is a sign of the beginning of sabotage in the indian army. the khalistan movement will now be further strengthened congratulations,lt.gen.taranjit singh has been arrested on charges of sedition
407,"never, ever get a root canal!! get the tooth removed along with the periodontal ligament then get an implant or a bridge. if you can find a copy please watch ""root because"" of all the women with breast cancer 98 had a root canal on the same side!!!","""did you know? dentists are the only physicians that believe you can get away with leaving dead tissue in the body. one root canal tooth can shut down 63 of your immune system."""
408,jabbing kids that is the power of donald trump it is only after trump made the statement that who finally got on board.,the who says children should not receive covid 19 vaccines
409,"dps school charging 350 for these face masks from students . while in market its selling only 20 to 30 rupees , very unfortunate they should distribute these masks for students free of cost . and should not charge them during this pandamic .",delhi public school dps is manufacturing and selling face masks to its students at a cost of rs. 350 per mask
410,never trumpers!,"says william taylor and george kent, the public witnesses in the house impeachment inquiry, are ""never trumpers."""
411,new measures that will spare rape victims the trauma and inconvenience of attending court will be rolled out across the country from september. victims of rape and other sex crimes will have their cross examination evidence pre recorded and played during the trial,all alleged victims of adult sexual offences tried in the crown court will be able to have their evidence recorded in advance from september 2017.
412,"man booed at pete buttigieg event after racist comment. ""racism is not going to help us get out of this,"" buttigieg tells him, to applause. ""racism has no place in american politics or in american law enforcement. next question.""","""a black person is four times as likely as a white person to be incarcerated for the exact same crime."""
413,the tallest man in the world is a muslim brother from pakistan,the tallest man in the world is a muslim brother from pakistan
414,the bridge collapsed due to the strong flow of the river..the situation is serious due to floods in assam,bridge collapse in indonesia
415,"for the purpose of creating conflict and confusion, some in the fake news media are saying that it is the governors decision to open up the states, not that of the president of the united states the federal government. let it be fully understood that this is incorrect....","""it is the decision of the president,"" not governors, to ""open up the states."""
416,be in the know the vast majority of people 7 out of 10 who died from the covid 19 virus in the uk were fully vaccinated.,over 70 of covid 19 deaths are now in vaccinated people in the uk.
417,"by analysing the patterns of genetic variation among the samples, the researchers estimate that the vb variant first arose during the late 1980s and 1990s in the netherlands",there is a link between covid 19 vaccines and a new strain of hiv identified in the netherlands.
418,"on april 7, jonathan van tam, the deputy chief medical officer, presented data at a televised press conference, showing that when covid 19 is low in the community the risk of developing a blood clot for the under 30s increases.",professor jonathan van tam said that when covid 19 is low in the community the risk of developing a blood clot for the under 30s increases.
420,joe biden takes a knee after spotting an american flag near his childhood home in pennsylvania.,joe biden takes a knee after spotting an american flag near his childhood home in pennsylvania.
421,"hearing that johnson is getting booed and heckled by british holidaymakers on his greek trip has cheered me up no end. it will not get shown in the uk of course but italian tv just now had a british man shouting, ""get back to work you fat ponce""","italian tv showed a british man shouting, ""get back to work you fat ponce"" at boris johnson while he was on holiday in greece."
422,"congratulations south africa , south africa becomes one of 11 countries in the world with gender equal cabinets.",south african president cyril ramaphosa's cabinet has become one of 11 countries in the world with gender equal cabinets.
423,"just in sawakas goodnews kumpirmad0 na pres marcos naia to mia atty gadon pirmado na aquino iyak thanks for watching ! copyright disclaimer fair use is a use permitted by copyright statute that might otherwise be infringing. no copyright intentions, for support and educational purposes only",bongbong marcos confirmed the renaming of ninoy aquino international airport naia back to manila international airport mia
424,first give a patient suffering from coronavirus hot meals rich and pepper and in less than 24 hours he or she will be fine,adding pepper in your food will not cure or prevent coronavirus
425,"mini mike bloomberg is spending a lot of money on false advertising. i was the person who saved pre existing conditions in your healthcare, you have it now, while at the same time winning the fight to rid you of the expensive, unfair and very unpopular individual mandate.....","""i was the person who saved pre existing conditions in your healthcare."""
426,"in iran if a 12 year old girl is raped and impregnated by her father, she must carry the baby to term, or be thrown in prison for life. wait, sorry, no. that is alabama.",a woman thrown into prison for abortion in alabama
427,"the fossil fuel industry wants to keep us arguing about light bulbs and cheeseburgers while 70 of pollution comes from just three industries. we need to focus on creating big, structural change to tackle this climate crisis and the washington corruption head on.","""70 of the pollution of the carbon that we are throwing into the air comes from three industries."""
428,breaking sachin tendulkar announces daughter sara's engagement with 1st gift odi 200 for 2nd gift engagement. this two gift can change career,breaking sachin tendulkar announces daughter sara s engagement with shubmangill 1st gift odi 200 for 2nd gift engagement. this two gift can change shubmangill career indvsnz shubmangill
429,"correction this post has been determined ""false"" by fact checkers at usa today. ""there is no evidence trump ever made this statement or a statement similar to it on any of the dates listed in posts that make the claim, according to transcripts of his appearances and rallies,"" they writ","in 2016, trump said, ""anyone being investigated by the fbi is not qualified to be the president of the united states"" on six different dates"
431,rest in peace to a legend.,foo fighters drummer taylor hawkins died from a covid 19 vaccine.
432,sudden adult death syndrome new name for the vaccine deaths,deaths from covid 19 vaccines are being miscategorised as deaths from sudden adult death syndrome .
434,"nirmala sitharaman told the country while presenting the budget that the modi government has so far distributed 35 thousand crore led bulbs. total population is 125 crores, means every person has got 280 bulbs. is it a big scam or a gimmick?",nirmala sitharaman said 35000 cr led bulbs were distribution under ujala scheme
435,the wall is under construction right now!,the wall is under construction right now.
436,h.r.1 would use taxpayer to fund campaigns ban voter id prevent removal of ineligible voters from registration rolls allow felons and minors to vote allow 15 days of early voting accept absentee ballots 10 days after election day legalize ballot harvesting,h.r. 1 would prevent removal of ineligible voters from registration rolls.
437,"many mostly democrat states refused to hand over data from the 2016 election to the commission on voter fraud. they fought hard that the commission not see their records or methods because they know that many people are voting illegally. system is rigged, must go to voter i.d.","""mostly democrat states refused to hand over data"" that could show election fraud."
438,"it is estimated that nearly 2,000 people have died in the last six months without financial support while waiting for the department for work and pensions dwp to publish a review on how terminally ill patients access benefits",6 months ago the dwp promised a review of universal credit for the terminally ill.
439,"governors are the last line of defense against attacks on reproductive rights. as governor, i will be a brick wall against republican attacks on health care just like i always have been.",i know what it means to virginian women when glenn youngkin says he wants to ban abortion and defund planned parenthood.
440,"fifa 2022,,, opening ceremony fireworks. so beautiful","fifa 2022,,, opening ceremony fireworks. so beautiful"
441,india vs australia live match in bhagayanagar uppal stadium jai shree ram,social media posts claiming that jai sri ram was chanted at uppal stadium during the t20 cricket match between india and australia are viral.
442,"russian disinformation. classic signs. they did that audio in a studio on moscow. clapper, brennan and 50 intel officers will have their letter out in the morning.",police dispatch audio from paul pelosi s attack was recorded in a moscow studio.
443,"at a time when more than 10 million americans are out of work, president biden wants to give amnesty to 15 million illegal immigrants. that is putting american workers last.","""a lot of these migrants that are coming, we have no way to screen their backgrounds for either health or for security."""
444,the real reason for alzheimers??,alzheimer s disease is made by physicians
446,condition of water in delhi,condition of water in delhi
447,delta variant is fake news,delta variant is a fake news
448,there is such a rush to get credit that the player has to do such tweet. shameless power,this gold medal is the result of years of hard work by me and my coach. do not try to give credit to modi ji
449,muslim country announced is mandatory in all the schools. any one can promote in saudi arabia.,saudi arabia has made yoga mandatory in all the schools.
450,shahrukh khan clearly admitting that whenever pakistan wins he is happy because his father's side won. bollywood is filled with peshawari pathans,shahrukh khan clearly admitting that whenever pakistan wins he is happy because his father s side won. bollywood is filled with peshawari pathans boycottpathaan
451,"mugabe's casket cost 17b? it has been computerised in such a way that after his internment, his family can watch his remains through their phones. supplier of casket said the facilities in it will prevent corpse from decomposing for 10 years","a viral posts with pictures claim the body of former zimbabwean president, robert mugabe, was lying in a computerized casket worth billions of zimbabwean dollars."
452,"pfizer has been releasing their court ordered clinical trial data,",the claim document shows pfizer biontech said vaccine should not be given to women who are pregnant or breastfeeding
453,why are planned parenthood clinics closing down all over the country?,planned parenthood clinics are shutting down all over the country
455,virus reported on bbc so take it as you may.,bbc radio s warning against possible malware attacks on whatsapp
456,"news from case of new strain of corona!! in sant vihar and mansarovar areas, people are not allowed to move out of their houses till jan 11, 2021 police administration making an announcement","news from lucknow case of new strain of corona!! in sant vihar and mansarovar areas, people are not allowed to move out of their houses till jan 11, 2020 police administration making an announcement."
457,"recently, a 105 year old woman was in the news who credited her health and longevity to eating 9 gin soaked raisins a day. here is the recipe for gin soaked raisins. let s make them and do a taste test. , ,","several social media posts assert that raisins soaked in rum are effective for treating arthritis pain. we verified the claim s accuracy and found that it is only half true. the claim has some anecdotal backing, but medical research has not completely refuted it."
458,"we are happy to announce that we will be donating 670 refrigerators and stoves that cannot be sold due to minor scratches and minor damage, all machines are working, so we will randomly send to someone who wrote ""done"". before september 24th.!!",a facebook post of palam metro station announcing the donation of 670 refrigerators and stoves that could not be sold due to minor damages
459,"the democrat controlled house never even asked john bolton to testify. it is up to them, not up to the senate!","""the democrat controlled house never even asked john bolton to testify."""
460,"this post has been reviewed by independent fact checkers and found to be missing context usatoday ""based on our research, we rate the claim there have been only 2,300 cases of flu this season missing context, because without additional information it could be misleading. while it is true public health interventions used to mitigate covid 19, such as face masks, social distancing and hygiene, have helped to also significantly reduce flu activity, the figure of 2,300 flu cases is an estimate, not an exact number, based on surveillance data publicly provided by the cdc. and the agency cautioned against using surveillance data to represent the burden of the flu nationwide because it does not fully capture every illness that occurs. it also warned against comparing any estimates to past flu season data since those numbers are based on statistical modeling.""","there have only been 2,300 cases in the 2020 2021 flu season"
461,"68 error rate in michigan voting machines. should be, by law, a tiny percentage of one percent. did michigan secretary of state break the law? stay tuned!",there was a 68 error rate in vote counting in antrim county in michigan
462,"this is the pain of society. in mexico, during a parliamentary debate, a member of parliament takes off all his clothes and says, 'you feel ashamed to see me naked, but you do not feel ashamed when your country is looted of all its wealth by hungry, naked, hopeless, unemployed and private companies, and making the common man a slave.' this is not shameful to you.'","a mexican mp stripped in the parliament, while addressing about hunger, poverty, and unemployment prevailing in the country"
463,"600 chinese troops tried to enter inside northeast india....indian side beat the hell out of them... both the sides suffered injuries, no casualty... nearly 12 chinese captured later released.... the incident reported to have happened on 9 december","600 chinese troops tried to enter inside northeast india....indian side beat the hell out of them... both the sides suffered injuries, no casualty... nearly 12 chinese captured later released.... the incident reported to have happened on 9 december arunachalpradesh china india"
464,plenty at the border,the claim image shows a stockpile of baby formula at the border
465,phoebe adele gates the 20 years old daughter of bill gates vaccination status not vaccinated not even childhood vaccines,"phoebe gates, daughter of bill gates, has not been vaccinated, and has not had her childhood vaccines."
466,"this is the same news reporter. this was taken at the same time on two different news program on the the same day and time, and talking about the same story. they play with our minds everyday. clearly dude is an actor. he an actor for the cia. research and read operation mockingbird and operation northwoods.","tv broadcast shows 'actor for the cia,' not news reporter"
467,including kidney injury and cardiac arrest.,"a pfizer document contains a list of around 158,000 adverse events ""from their vaccine""."
468,"fundamentally, this is an exercise in keeping the status quo and in damage limitation.",the new uk japan trade deal will deliver a 1.5 billion boost to the uk economy.
469,elon musk going to buy facebook and he will delete it same as what facebook did to friendster. omg karma is real,elon musk going to buy facebook and he will delete it same as what facebook did to friendster. omg karma is real.
470,they have to use drones not the correct way to do,"congratulations to the tneb employee, the man who did the duty even though he was not safe."
471,"during a recession and with inflation at a 41 year high, democrats just passed a bill to spend over 700 billion, increase taxes and decrease energy production.",the inflation reduction act will reduce energy production.
473,"our rigorous review of the safety, quality and effectiveness of covid 19 vaccine candidates is the same for both routes and no vaccine would be authorised via a cma or r174 unless the expected high standards are met.","people who were undergoing chemotherapy have been told that they should not receive vaccines, and should stay away from people who had received vaccines, and now because of covid 19 this has all changed."
474,there was a war in pakistan. the situation is very tense like the army and police .,civil war broke out in pakistan. heavy clash between army and police.
475,"fact check ammendment after being notified by facebook fact checkers that the statement and the picture is incorrect, i stand by my original post at the time which stated this post is a bit dodgy meaning i am unsure how true this is and was seeking clarification . i apologise for sharing this post now knowing what was sent to this page by the facebook fact checkers.","a french news channel showed during the count for the presidential election that marine le pen had more votes than emmanuel macron, but her votes were later reduced, suggesting electoral fraud."
476,3 countries refused the covid vaccine,"the presidents of haiti, tanzania and zambia died unexpectedly , and this is linked to the fact they refused the covid 19 vaccines for their nations."
477,the vice president has the power to reject fraudulently chosen electors.,vice president mike pence has the power to decertify the electoral votes in a joint session of congress.
478,over 1m ticket requests for the rally in tulsa on saturday. before entering each guest will get temperature check hand sanitizer mask there will be precautions for the heat and bottled water as well.,"says that if people scooped up all the tickets for the trump campaign rally in tulsa, then trump could be speaking to an empty crowd."
479,extreme hair growth diy. massage your scalp with a mix of coconut oil aloevera gel for 30 minutes before bathing. it helps you in getting long voluminous lustrous hair naturally,"coconut oil and aloe vera make hair long, voluminous and lustrous"
480,fake news,the russian army captured the you.s major general roger l. cloutier jr. ... in the besieged ukrainian azov camp in mariupol.
482,"just in toni gonzaga inks contract with the state run television network people's television or ptv 4. the 37 yr. old multimedia star becomes the first showbiz personality who joined the newly founded artist agency of the network. as part of her contract, she will be hosting a new tv show entitled, ""tnt tapatan ni toni"" where she will be guesting lots of political allies of the current administration. via latenachika",toni gonzaga signed a contract with ptv 4 to be part of its artist agency
483,about time.,says nascar bans the confederate flag but forces all their drivers to do muslim prayer.
484,"you are asking where is buhari? he is long dead. take your time to ask google ""on feb 23rd who did au observed one minutes silence for?"" in case you are lazy, check pics below",president buhari is dead
485,this is chhattisgarh bhaisaheb bhupesh baghel ji rules both hearts and parties,bhupesh baghel zindabad slogans raised during tejashwi surya's speech
486,abusing a martyred prime minster is the sign of ultimate cowardice but who is responsible for his assassination ? the bjp backed vp singh govt refused to provide him with additional security left him with one pso despite credible intelligence inputs and repeated requests,bjp backed v p singh government did not provide security to rajiv gandhi
487,did biden win more votes than any president in history? he won a record low of 17 of counties. biden won 477 counties while obama in 2008 won 873...,"joe biden won the most votes in history, though he won a record low number of counties"
488,ancient egyptian dental work from 2000 because,ancient egyptian dental work from 2000 because
489,to keep warm this winter we should turn to man,nadine dorries said that as a nation of animal lovers we should use cats and dogs to keep warm this winter.
491,"welcome to the 4th industrial revolution!king of bahrain arrives in dubai with his robot bodyguard worth 7.4m. it speaks 6 languages can rescue, fight, chase, shoot. armed with electric teaser, 360 degrees camera system, state of the art guns ammunition to fight 1050 men. wow",the king of bahrain has a heavily armed robot as a bodyguard.
493,artile other,many social media users are claiming that coughing can be used as cpr during a heart attack. we fact checked and found that this claim is false.
494,presenters strive to uphold the highest journalistic and editorial standards when interviewing guests and experts. we are satisfied that all claims were adequately challenged by our presenter,"covid 19 cases were going up very rapidly in england when mask mandates were introduced in 2020, and the mandates brought them under control within weeks."
495,wacky who always seems to be crying worse than boehner speaks badly of me only because i refuse to do his show a real nut job!,"""john boehner had been the speaker of the house until he was forced out in a tea party putsch in 2011"""
496,"from my lockdown room in things look grim, but here is some positive advancements china has closed down its last coronavirus hospital. not enough new cases to support them. doctors in india have been successful in treating coronavirus using...combination of drugs used lopinavir, retonovir, oseltamivir along with chlorphenamine. they are going to suggest same medicine, globally. researchers of the erasmus medical center claim to have found an antibody against a 103 year old chinese grandmother has made a full recovery from after being treated for 6 days in wuhan, china. apple reopens all 42 china stores, cleveland clinic developed a test that gives results in hours, not days. good news from south korea, where the number of new cases is declining italy is hit hard, experts say, only because they have the oldest population europ scientists in israel likely to announce the development of a vaccine. 3 maryland coronavirus patients fully recovered able to return to everyday life. a network of canadian scientists are making excellent progress in covid 19 research.a san diego biotech company is developing a vaccine in collaboration with duke university and national university of singapore. tulsa county's first positive covid 19 case has recovered. this individual has had two negative tests, which is the indicator of recovery.all 7 patients who were getting treated for at safdarjung hospital in new delhi are recovered plasma from newly recovered patients from covid 19 can treat others infected by it is not all bad news. let us care for each other and stay focused on safety of the most vulnerable",china has closed down its last coronavirus hospital. not enough new cases to support them.
497,attorney general merrick garland approved an fbi raid on the former president who personally revoked his nomination for the supreme court when he won the presidency,donald trump revoked merrick garland's supreme court nomination when he became president
498,thousands and thousands having their jab. hear kate shemirani speak,the covid 19 vaccines can render you infertile.
499,"yesterday, the nfl agreed to give the domestic terror group, blm, 250 million dollars. now, will you boycott?",the nfl is giving 250 million to black lives matter
500,"only by massaging white part of banana peel with 4 drops of rose water on face daily for 2 mins help to cure acne, fight aging, cure scars and akes skin glowing",banana peel removes acne
501,"guadalupe river in new braunsfel, tx this weekend","guadalupe river in new braunsfel, tx this weekend"
502,we and other chapters of antifa around oregon have collaborated to ignite fires around the state to draw attention to the .,"says a twitter account for ""scarsdale ny antifa"" tweeted that ""chapters of antifa around oregon have collaborated to ignite fires around the state."""
503,wow! who director arrested for crimes against humanity. he was caught on an airplane trying to escape to africa with large amount of cash. this movie is getting wild.,wow! who director arrested for crimes against humanity.
504,"i will give you all a little more time before i spend my last, we will watch my brother skin fall off then i am out .",the world health organization director general confirmed some countries are using boosters to kill children.
506,breaking atf gun registry includes almost 1 billion firearm records. make no mistake this is biden's next step towards gun confiscation.,an 'atf gun registry' includes nearly 1 billion firearm records
507,and you thought stonehenge was real?!,stonehenge is a modern fake.
508,reciting sanatani shloka at the funeral of queen elizabeth of britain.,reciting sanatani shloka at the funeral of queen elizabeth of britain
509,"we are about to be forced to have a digital id, proving we have had an experimental vaccine, which does not prevent infection or transmission of a virus that most of us have a 0.05 chance of dying from, so we can live ""normal life"" can people really not see through this?",covid 19 vaccines are experimental.
510,did ya know? this was the 1st 4 year term with out a new war since eisenhower!,the claim this was the first four year term without a new war since eisenhower
511,evidence surfaces that the fbi planned and executed january 6 capitol riot,fbi operatives organized the january 6 attack on the you.s. capitol
512,"put pressure on the democrats to end the horrible law that separates children from there parents once they cross the border into the you.s. catch and release, lottery and chain must also go with it and we must continue building the wall! democrats are protecting ms 13 thugs.","a ""horrible law"" requires that children be separated from their parents ""once they cross the border into the you.s."""
513,"he knows everything but does nothing. here, sir is mentioning the benefits of all three farm bills","he knows everything but does nothing. here, sir is mentioning the benefits of all three farm bills"
514,"hermeticism is the ancient philosophy, theory and practice of the inner secrets of man, nature and spirit. it is origins are lost in the mists of prehistory. its revivals in the hellenistic, renaissance and modern times have often been pale reflections of its real nature. though much of its records are lost, it has re risen from the flames like the phoenix under many different guises. fragments of this great primal teaching are distributed throughout the world. hermes trismegistus, its legendary founder, has been called the originator of writing, the sciences and arts, as well as the patron of esoteric teachings and magick. he has been equated as one and the same as tehuti, thoth, enoch and idris, among many other spiritual teachers at the dawn of human history. hermetic teachings have been transmitted through a long line of masters and teachers throughout the ages. its survival throughout the ages has been accomplished by means of guardians of the holy mysteries. these guardians have emerged from time to time to disclose precious fragments of these timeless teachings","nikola tesla is renowned for his pioneering work in developing alternating current electric systems, however a facebook post paints the scientist and engineer in a more philosophical light."
515,no wonder they are killing chickens creating an egg shortage!! researchers create covid 19 antibodies from eggs study the jerusalem post,studies show egg yolks significantly increase immunity against covid 19.
516,"after his daughter has been named in the delhi liquor excise scam, kcr is suddenly singing like a canary!!","after his daughter has been named in the delhi liquor excise scam, kcr is suddenly singing like a canary!!"
517,"astronaut mark kelly once smuggled a full gorilla suit on board the international space station. he did not tell anyone about it. one day, without anyone knowing, he put it on. source reddit",astronaut mark kelly once smuggled a full gorilla suit on board the international space station.
518,we are a lighthouse. your call,a british navy captain tried to order an irish lighthouse to move out of the way.
519,"radical reconfigurations of services should not be undertaken simply to release additional land but will need to be based on a full clinical case for change, both improving services and delivering better value for money",the conservatives are planning to sell off nhs property by implementing the naylor review.
520,"australia have approved the license application from big pharma company paxvax that will allow them to intentionally release a gmo vaccine consisting of live bacteria into queensland, via chemtrails. the office of the gene technology regulator ogtr says that the vaccine qualifies as a limited and controlled release under section 50a of the gene technology act 2000.",australia approved a pharmaceutical company to vaccinate its citizens aerially via so called chemtrails.
521,nigeria unites for the justice for,nigerian people protesting in support of justice for sushant singh rajput
522,"the cdc is about to add the covid vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.","the cdc is about to add the covid vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school."""
523,"i am 98 certain that this is the letter imran khan was speaking of when he said he had ""written proof"" that the us was involved in his ouster. this has the same 'signature seal' that is used by biden on other correspondence and the navy blue seal has been used in the trump years, that could have been a left over keeper in case they want to disclaim it later after getting caught in their web of lies. imran khan was on the hit list because he did not bow and scrape to us hegemony and he flat out refused a new nato base in pakistan. he wanted his country free from any kind of us control. a hard thing to do but he had lots of support. we all know the us is more than capable of pulling off a coup, they resort to ""any means necessary"" blackmail, murder, torture, arson, war. we have major inflation hurting our citizens because of us warmongering. we are also broke and borrowing trillions. beware!",us president joe biden threatened former prime minister imran khan with dire consequences and removal from the prime minister s office if you do not refrain from your acts in a letter with the seal of the executive office of the president eop of the united states.
524,turbo cancer. a new normal,covid vaccines because turbo cancer
525,"7 years of tory rule has crushed the nhs and is causing deaths illnesses throughout the country. we must stand up for the nhs and vote out the tories at the next general election. once its gone, its gone",the rate of extra investment in the nhs has fallen by 68 since 2010.
527,"basically, sinasabi ni madame ambassador paano nga ba makakaruon ng arbitration? eh ang ibig sabihin ng arbitration ay yung paguusap para ma settle ang isang alitan. eh wala ang china dun... so sino kausap natin?",china's nonparticipation delegitimized the arbitration proceedings in the permanent court of arbitration on the philippines' case against china over the south china sea maritime dispute.
528,"how many more people have to die before we reinstate the assault weapons ban the limit on high capacity magazines pass universal background checks? after they passed in 1994, there was a big drop in mass shooting deaths. when the ban expired, they rose again. we must act now.","""after the assault weapon ban passed in 1994, there was a big drop in mass shooting deaths. when the ban expired, they rose again."""
529,"everybody must read this is not second hand news or something that was heard from someone else!! this is first hand news straight from myself to you!! so today on my journey around our great city of melbourne picking up exports and imports delivering them all off to where they need to go. i got sent a job, a pick up for export at a small factory in footscray yarraville area. company details tt express factory 35 131 hyde street, footscray when i got there i could not believe my eyes the hole factory is full with our food!! that is right people!! all the rumours you may have heard about chinese people buying up all our stock from super markets well its not a rumour!! its true...... the hole joint was full of repacked boxes of baby formula, toilet paper, pallets of hand sanitizer, tissues, feminine hygiene products and that is just a start!! they had everything from cleaning products to food pasta, rice, tinned goods, pet food even medicine and boxes of paracetamol panadol!! when i asked the asian guy told me they have been packing 2 shipping containers full everyday and sending it all back to china!! and the company responsible for shipping it all is a company called freight net factory 9c international square in tullamarine. share the shit out of this people get the word out there this kind of thing needs to stop!","a facebook post claims a melbourne factory is sending food, toilet paper and other items to china."
530,just in shocking decision of the ministry of home affairs. an order issued to immediately close schools and colleges,"home ministry orders to close schools, colleges"
531,"according to chief , mangaluru ""cooker terrorist"" shariq is innocent. reason shariq's terror attack was not as big as pulwama or mumbai. is dks inciting his brothers to indulge in bigger terror attacks than smaller ones?","according to inckarnataka chief dkshivakumar , mangaluru cooker terrorist shariq is innocent. reason shariq s terror attack was not as big as pulwama or mumbai. is dks inciting his brothers to indulge in bigger terror attacks than smaller ones? congresssupportsterrorists"
532,there is nothing wrong with asking why swing states that are run by democrats where trump is winning by massive margins hundreds of thousands of votes just stop counting for no reason at all. total bullshit. this is domestic election interference and election meddling,democrat led states stopped counting votes on election night to avoid calling a trump victory
533,mrna operating system,"the claim messenger rna covid 19 vaccines are not real vaccines, vaccination will turn body into 'virus making factory'"
534,dr.sebi speaks about consuming tofu,soybean or soy based products contain plastic
535,"virat kohli retires from cricket, goodbye virat kohli.",virat kohli announces retirement
536,trump leading in pennsylvania 51 to 46 . 51 counted. crooked philly democrat machine stops counting. all their ballots should be impounded and counted by independent monitor not by crooked hack politicians.,"""crooked philly democrat machine stops counting"""
537,"public health scotland will stop publishing data on covid deaths and hospitalisations by ""vaccination"" status going forward because the data has shown for the past few weeks that the fully ""vaccinated"" population are developing aids. that which was a ""conspiracy theory""... source",phs will not publish covid data due to link between vaccine and aids
538,cases up only because of our big number testing. mortality rate way down!!!,covid 19 cases are up only because of our big number testing.
539,thejournal.ie is closing down.,thejournal.ie is closing down.
540,warning people are going door to door in colorado springs stating they are covid testing so they can rob people!!!!,people are going door to door in colorado springs stating they are covid testing so they can rob people!!!!
541,marburg is in the vax. will be activated by 5g coded pulse,covid 19 vaccines contain marburg virus which will be activated by 5g.
542,devin nunes clarifies his comments from this weekend and says he meant you could go for takeout drive thru despite saying you could take your family and get in easy.,"devin nunes claimed he was talking about drive thru or takeout when he said ""it is a great time to go out."""
543,"thread if the united states wants to remain the superpower of the world, we must have energy independence. the energy independence and security act of 2022 will make necessary permitting reforms to ensure we can produce the cleanest possible energy for ourselves our allies.","over the past 5 years, natural gas costs have gone up over 200 in the united states."
544,figures for influenza and pneumonia represent where either of these causes have been mentioned anywhere on the death certificate meaning they will not necessarily be the underlying because of death,flu is killing many more people than covid 19 at the moment.
546,"i speak frankly, bollywood has spread filth in my country, is there anyone else who can stand with me fearlessly. keep joining me i will follow back everyone.",mukesh khanna targeted bollywood in a tweet
